t,u,v,w,T
7.19999999999998,3.337,0.543,-0.16,14.402
7.24999999999998,3.543,0.418,-0.053,14.414
7.29999999999998,3.284,0.454,-0.056,14.431
7.34999999999998,3.122,0.691,-0.137,14.409
7.39999999999998,3.209,0.433,-0.034,14.343
7.44999999999998,3.259,0.761,0.278,14.378
7.49999999999998,3.327,0.691,0.15,14.366
7.54999999999998,3.219,0.843,-0.069,14.349
7.59999999999998,3.327,0.92,-0.231,14.339
7.64999999999998,3.155,0.673,-0.221,14.368
7.69999999999998,3.069,0.752,-0.345,14.375
7.74999999999998,3.227,0.713,-0.186,14.366
7.79999999999998,3.599,0.566,-0.196,14.549
7.84999999999998,3.593,0.643,-0.303,14.747
7.89999999999998,3.523,0.635,-0.323,14.83
7.94999999999998,3.518,0.742,-0.423,14.806
7.99999999999998,3.628,0.778,-0.475,14.916
8.04999999999998,3.451,0.868,-0.656,14.72
8.09999999999998,3.815,0.675,-0.604,14.635
8.14999999999998,3.478,0.474,-0.714,14.774
8.19999999999998,3.453,0.402,-0.29,14.757
8.24999999999998,3.333,0.442,-0.416,14.761
8.29999999999998,3.276,0.267,-0.38,14.705
8.34999999999998,3.154,0.041,-0.566,14.662
8.39999999999998,2.975,0.287,-0.333,14.598
8.44999999999999,3.44,0.182,0.441,14.532
8.49999999999999,3.279,0.24,0.446,14.595
8.54999999999999,3.137,0.249,0.313,14.751
8.59999999999999,2.846,0.504,0.046,14.674
8.64999999999999,3.033,0.236,0.166,14.673
8.69999999999999,3.033,0.254,0.12,14.705
8.74999999999999,2.774,0.47,0.07,14.695
8.79999999999999,2.958,0.564,0.273,14.6
8.84999999999999,2.852,0.705,0.392,14.471
8.89999999999999,2.859,0.512,0.226,14.593
8.94999999999999,2.801,0.379,0.296,14.492
8.99999999999999,3.211,0.347,0.116,14.586
9.04999999999999,2.839,0.347,0.293,14.503
9.09999999999999,2.672,0.544,0.408,14.51
9.15,2.845,0.706,0.346,14.463
9.2,2.747,0.563,0.203,14.549
9.25,2.855,0.795,0.067,14.4
9.3,2.922,0.797,0.007,14.388
9.35,3.078,0.8,0.093,14.432
9.4,2.929,0.59,-0.087,14.576
9.45,3.019,0.651,-0.136,14.632
9.5,3.024,0.688,-0.091,14.559
9.55,2.442,1.16,-0.051,14.551
9.6,2.47,1.156,-0.138,14.404
9.65,2.553,1.059,-0.308,14.358
9.7,2.628,1.202,-0.217,14.246
9.75,2.761,0.623,-0.114,14.639
9.8,2.72,0.331,-0.09,14.629
9.85000000000001,2.729,0.34,-0.058,14.622
9.90000000000001,2.622,0.634,-0.125,14.646
9.95000000000001,2.786,0.321,-0.105,14.618
10,2.911,0.451,-0.267,14.647
10.05,2.881,0.569,-0.206,14.639
10.1,2.742,0.756,-0.049,14.696
10.15,2.851,0.573,0.042,14.656
10.2,2.584,0.553,0.051,14.657
10.25,2.656,0.725,0.121,14.617
10.3,2.794,0.901,0.136,14.537
10.35,3.137,0.816,-0.068,14.437
10.4,2.977,0.845,0.037,14.505
10.45,2.856,0.774,-0.225,14.463
10.5,2.831,0.9,-0.268,14.429
10.55,2.959,0.931,-0.17,14.434
10.6,3.118,1.041,-0.139,14.414
10.65,3.073,0.988,-0.024,14.38
10.7,2.899,0.946,-0.07,14.402
10.75,2.937,1.149,-0.105,14.393
10.8,3.055,1.061,-0.023,14.348
10.85,3.029,1.308,0.012,14.289
10.9,2.651,1.282,0.044,14.294
10.95,2.76,1.12,-0.085,14.148
11,3.104,1.005,0.017,14.185
11.05,2.899,1.255,-0.023,14.099
11.1,2.875,1.171,-0.045,14.067
11.15,2.752,1.513,-0.106,14.035
11.2,2.66,1.352,-0.208,14.402
11.25,2.96,1.05,-0.211,14.314
11.3,3.026,0.884,-0.157,14.327
11.35,3.004,0.775,-0.122,14.605
11.4,2.999,0.698,0.131,14.398
11.45,2.885,0.752,0.081,14.534
11.5,2.948,0.593,0.173,14.558
11.55,3.199,0.695,0.177,14.196
11.6,3.322,0.892,0.258,14.003
11.65,2.932,1.309,0.604,14.06
11.7,2.669,1.41,0.59,14.094
11.75,2.405,1.571,0.409,13.999
11.8,2.576,1.568,0.296,13.977
11.85,2.507,1.605,0.348,14.023
11.9,2.813,1.331,-0.107,14.69
11.95,3.047,1.516,0.021,14.605
12,3.069,1.624,-0.002,14.563
12.05,3.053,1.62,0.013,14.486
12.1,3.033,1.351,0.023,14.49
12.15,3.209,1.252,0.235,14.561
12.2,3.468,1.347,0.347,14.483
12.25,3.602,1.429,0.362,14.3
12.3,3.826,1.35,0.554,14.51
12.35,3.254,1.518,0.969,14.566
12.4,3.365,1.323,0.831,14.371
12.45,3.611,1.422,0.829,14.463
12.5,3.784,1.26,0.695,14.651
